,index,f-measure,markerCount,clusterName,1,2,3,f-measureRank
64,CL4&CD45RA>=5034.5,0.779301745636,1,CL4,CD45RA,nan,nan,11.0
13,CL4&CD16>=984.5&CD56>=343.5,0.546166529266,2,CL4,CD16,CD56,nan,12.5
30,CL4&CD56>=343.5&CD16>=984.5,0.546166529266,2,CL4,CD56,CD16,nan,12.5
109,CL4&CD56>=343.5,0.412166003411,1,CL4,CD56,nan,nan,14.0
112,CL4&CD16>=984.5,0.403945514326,1,CL4,CD16,nan,nan,15.0
125,CL5&CD45RA>=1826.5,0.51946001421,1,CL5,CD45RA,nan,nan,1.0
69,CL5&CD3>=36.5&CD45RA>=1826.5,0.152075626798,2,CL5,CD3,CD45RA,nan,2.5
99,CL5&CD45RA>=1826.5&CD3>=36.5,0.152075626798,2,CL5,CD45RA,CD3,nan,2.5
44,CL5&CD45RA>=1826.5&CD127>=23.5,0.0766518473095,2,CL5,CD45RA,CD127,nan,4.5
115,CL5&CD127>=23.5&CD45RA>=1826.5,0.0766518473095,2,CL5,CD127,CD45RA,nan,4.5
38,CL5&CD127>=23.5&CD3>=36.5&CD45RA>=1826.5,0.0554038863016,3,CL5,CD127,CD3,CD45RA,8.5
59,CL5&CD3>=36.5&CD45RA>=1826.5&CD127>=23.5,0.0554038863016,3,CL5,CD3,CD45RA,CD127,8.5
86,CL5&CD45RA>=1826.5&CD127>=23.5&CD3>=36.5,0.0554038863016,3,CL5,CD45RA,CD127,CD3,8.5
98,CL5&CD127>=23.5&CD45RA>=1826.5&CD3>=36.5,0.0554038863016,3,CL5,CD127,CD45RA,CD3,8.5
106,CL5&CD45RA>=1826.5&CD3>=36.5&CD127>=23.5,0.0554038863016,3,CL5,CD45RA,CD3,CD127,8.5
126,CL5&CD3>=36.5&CD127>=23.5&CD45RA>=1826.5,0.0554038863016,3,CL5,CD3,CD127,CD45RA,8.5
91,CL5&CD3>=36.5,0.0506472859414,1,CL5,CD3,nan,nan,12.0
29,CL5&CD127>=23.5,0.0295338908708,1,CL5,CD127,nan,nan,13.0
26,CL5&CD3>=36.5&CD127>=23.5,0.0210349179638,2,CL5,CD3,CD127,nan,14.5
129,CL5&CD127>=23.5&CD3>=36.5,0.0210349179638,2,CL5,CD127,CD3,nan,14.5
119,CL6&CD16>=10228.5,0.870967741935,1,CL6,CD16,nan,nan,1.0
97,CL6&CD15>=3382.5&CD16>=10228.5,0.869565217391,2,CL6,CD15,CD16,nan,2.5
111,CL6&CD16>=10228.5&CD15>=3382.5,0.869565217391,2,CL6,CD16,CD15,nan,2.5
0,CL6&IgG1>=52.5&CD16>=10228.5,0.863309352518,2,CL6,IgG1,CD16,nan,4.5
20,CL6&CD16>=10228.5&IgG1>=52.5,0.863309352518,2,CL6,CD16,IgG1,nan,4.5
41,CL6&CD15>=3382.5&CD16>=10228.5&IgG1>=52.5,0.841121495327,3,CL6,CD15,CD16,IgG1,8.5
53,CL6&IgG1>=52.5&CD16>=10228.5&CD15>=3382.5,0.841121495327,3,CL6,IgG1,CD16,CD15,8.5
55,CL6&CD16>=10228.5&IgG1>=52.5&CD15>=3382.5,0.841121495327,3,CL6,CD16,IgG1,CD15,8.5
88,CL6&CD15>=3382.5&IgG1>=52.5&CD16>=10228.5,0.841121495327,3,CL6,CD15,IgG1,CD16,8.5
90,CL6&IgG1>=52.5&CD15>=3382.5&CD16>=10228.5,0.841121495327,3,CL6,IgG1,CD15,CD16,8.5
114,CL6&CD16>=10228.5&CD15>=3382.5&IgG1>=52.5,0.841121495327,3,CL6,CD16,CD15,IgG1,8.5
35,CL6&CD15>=3382.5&IgG1>=52.5,0.787401574803,2,CL6,CD15,IgG1,nan,12.5
122,CL6&IgG1>=52.5&CD15>=3382.5,0.787401574803,2,CL6,IgG1,CD15,nan,12.5
72,CL6&CD15>=3382.5,0.748299319728,1,CL6,CD15,nan,nan,14.0
62,CL6&IgG1>=52.5,0.511551155116,1,CL6,IgG1,nan,nan,15.0
27,CL7&CD14>=161.5,0.865711052433,1,CL7,CD14,nan,nan,1.0
31,CL7&CD14>=161.5&CD45RA>=1493.0,0.045871559633,2,CL7,CD14,CD45RA,nan,2.5
113,CL7&CD45RA>=1493.0&CD14>=161.5,0.045871559633,2,CL7,CD45RA,CD14,nan,2.5
121,CL7&CD45RA>=1493.0,0.0204918032787,1,CL7,CD45RA,nan,nan,4.0
43,CL7&CD14>=161.5&CD4>=1395.5,0.010838150289,2,CL7,CD14,CD4,nan,5.5
120,CL7&CD4>=1395.5&CD14>=161.5,0.010838150289,2,CL7,CD4,CD14,nan,5.5
8,CL7&CD14>=161.5&CD45RA>=1493.0&CD4>=1395.5,0.00391849529781,3,CL7,CD14,CD45RA,CD4,9.5
39,CL7&CD4>=1395.5&CD45RA>=1493.0&CD14>=161.5,0.00391849529781,3,CL7,CD4,CD45RA,CD14,9.5
74,CL7&CD45RA>=1493.0&CD14>=161.5&CD4>=1395.5,0.00391849529781,3,CL7,CD45RA,CD14,CD4,9.5
102,CL7&CD14>=161.5&CD4>=1395.5&CD45RA>=1493.0,0.00391849529781,3,CL7,CD14,CD4,CD45RA,9.5
110,CL7&CD45RA>=1493.0&CD4>=1395.5&CD14>=161.5,0.00391849529781,3,CL7,CD45RA,CD4,CD14,9.5
133,CL7&CD4>=1395.5&CD14>=161.5&CD45RA>=1493.0,0.00391849529781,3,CL7,CD4,CD14,CD45RA,9.5
46,CL7&CD4>=1395.5,0.00386398763524,1,CL7,CD4,nan,nan,13.0
47,CL7&CD45RA>=1493.0&CD4>=1395.5,0.00170415814588,2,CL7,CD45RA,CD4,nan,14.5
51,CL7&CD4>=1395.5&CD45RA>=1493.0,0.00170415814588,2,CL7,CD4,CD45RA,nan,14.5
103,CL8&CD8a>=5522.0,0.897794889744,1,CL8,CD8a,nan,nan,1.0
23,CL8&CD8a>=5522.0&IgG2b>=7.5,0.832936696811,2,CL8,CD8a,IgG2b,nan,2.5
107,CL8&IgG2b>=7.5&CD8a>=5522.0,0.832936696811,2,CL8,IgG2b,CD8a,nan,2.5
33,CL8&CD8a>=5522.0&CD45RA>=2186.5,0.810575246949,2,CL8,CD8a,CD45RA,nan,4.5
54,CL8&CD45RA>=2186.5&CD8a>=5522.0,0.810575246949,2,CL8,CD45RA,CD8a,nan,4.5
9,CL8&IgG2b>=7.5&CD8a>=5522.0&CD45RA>=2186.5,0.700798838054,3,CL8,IgG2b,CD8a,CD45RA,8.5
22,CL8&CD45RA>=2186.5&IgG2b>=7.5&CD8a>=5522.0,0.700798838054,3,CL8,CD45RA,IgG2b,CD8a,8.5
32,CL8&CD8a>=5522.0&CD45RA>=2186.5&IgG2b>=7.5,0.700798838054,3,CL8,CD8a,CD45RA,IgG2b,8.5
57,CL8&CD45RA>=2186.5&CD8a>=5522.0&IgG2b>=7.5,0.700798838054,3,CL8,CD45RA,CD8a,IgG2b,8.5
89,CL8&CD8a>=5522.0&IgG2b>=7.5&CD45RA>=2186.5,0.700798838054,3,CL8,CD8a,IgG2b,CD45RA,8.5
132,CL8&IgG2b>=7.5&CD45RA>=2186.5&CD8a>=5522.0,0.700798838054,3,CL8,IgG2b,CD45RA,CD8a,8.5
18,CL8&CD45RA>=2186.5&IgG2b>=7.5,0.360740981475,2,CL8,CD45RA,IgG2b,nan,12.5
37,CL8&IgG2b>=7.5&CD45RA>=2186.5,0.360740981475,2,CL8,IgG2b,CD45RA,nan,12.5
7,CL8&IgG2b>=7.5,0.3161923781,1,CL8,IgG2b,nan,nan,14.0
34,CL8&CD45RA>=2186.5,0.160875773441,1,CL8,CD45RA,nan,nan,15.0
63,CL9&CD3>=2853.5&CD4>=3695.5,0.646867371847,2,CL9,CD3,CD4,nan,1.5
101,CL9&CD4>=3695.5&CD3>=2853.5,0.646867371847,2,CL9,CD4,CD3,nan,1.5
65,CL9&CD4>=3695.5,0.627118644068,1,CL9,CD4,nan,nan,3.0
12,CL9&CD45RO>=960.5&CD4>=3695.5,0.615763546798,2,CL9,CD45RO,CD4,nan,4.5
15,CL9&CD4>=3695.5&CD45RO>=960.5,0.615763546798,2,CL9,CD4,CD45RO,nan,4.5
36,CL9&CD3>=2853.5&CD45RO>=960.5&CD4>=3695.5,0.546265328874,3,CL9,CD3,CD45RO,CD4,8.5
66,CL9&CD45RO>=960.5&CD4>=3695.5&CD3>=2853.5,0.546265328874,3,CL9,CD45RO,CD4,CD3,8.5
78,CL9&CD45RO>=960.5&CD3>=2853.5&CD4>=3695.5,0.546265328874,3,CL9,CD45RO,CD3,CD4,8.5
80,CL9&CD4>=3695.5&CD3>=2853.5&CD45RO>=960.5,0.546265328874,3,CL9,CD4,CD3,CD45RO,8.5
116,CL9&CD3>=2853.5&CD4>=3695.5&CD45RO>=960.5,0.546265328874,3,CL9,CD3,CD4,CD45RO,8.5
123,CL9&CD4>=3695.5&CD45RO>=960.5&CD3>=2853.5,0.546265328874,3,CL9,CD4,CD45RO,CD3,8.5
17,CL9&CD45RO>=960.5&CD3>=2853.5,0.546218487395,2,CL9,CD45RO,CD3,nan,12.5
58,CL9&CD3>=2853.5&CD45RO>=960.5,0.546218487395,2,CL9,CD3,CD45RO,nan,12.5
134,CL9&CD45RO>=960.5,0.31750339213,1,CL9,CD45RO,nan,nan,14.0
128,CL9&CD3>=2853.5,0.303567210017,1,CL9,CD3,nan,nan,15.0
